,param,seed,alpha,df,asymmetry,straightness,gaussianity,efficiency,mod_int
138,0.1,276277,-0.03,3.17,0.0094,0.0025,76.2537,0.0,0
139,0.1,278279,-0.03,3.18,0.040999999999999995,0.0023,65.9196,0.0,0
140,0.1,280281,-0.07,3.18,0.0082,0.0031,66.0697,0.0,0
141,0.1,282283,0.01,3.39,0.0474,0.0018,72.87,0.0,0
142,0.1,284285,0.14,3.2,0.0423,0.0058,86.9306,0.0,0
143,0.1,286287,0.12,3.09,0.0336,0.0017,86.5903,0.0,0
144,0.1,288289,0.1,3.24,0.0356,0.0023,98.1648,0.0,0
145,0.1,290291,0.18,3.19,0.0107,0.003,80.3234,0.0,0
146,0.1,292293,0.11,3.13,0.0188,0.0046,76.067,0.0,0
147,0.1,294295,0.13,3.29,0.0377,0.0022,90.8497,0.0,0
148,0.1,296297,0.03,3.06,0.0104,0.008,65.4925,0.0,0
149,0.1,298299,0.1,3.21,0.0062,0.001,70.3925,0.0,0
150,0.1,300301,0.14,2.93,0.0956,0.003,86.1859,0.0,0
151,0.1,302303,0.08,3.28,0.02,0.0008,69.7979,0.0,0
152,0.1,304305,-0.01,3.11,0.0185,0.0024,87.9776,0.0,0
153,0.1,306307,0.0,3.18,0.07,0.0009,82.1995,0.0,0
154,0.1,308309,0.06,3.12,0.0438,0.0012,76.986,0.0,0
155,0.1,310311,0.11,3.02,0.1142,0.002,66.2727,0.0,0
156,0.1,312313,0.06,3.14,0.0149,0.0017,77.7735,0.0,0
157,0.1,314315,0.13,3.09,0.0365,0.0033,77.096,0.0,0
158,0.1,316317,0.17,3.19,0.0298,0.002,64.8202,0.0,0
159,0.1,318319,-0.02,3.13,0.0287,0.0036,73.5749,0.0,0
160,0.1,320321,0.2,3.2,0.06,0.0052,75.8375,0.0,0
161,0.1,322323,-0.12,3.15,0.0037,0.0014,65.1038,0.0,0
162,0.1,324325,0.11,3.09,0.0374,0.0032,78.1597,0.0,0
163,0.1,326327,0.15,3.12,0.0274,0.0063,68.9629,0.0,0
164,0.1,328329,0.15,3.26,0.004,0.0052,61.8373,0.0,0
165,0.1,330331,0.11,3.01,0.1038,0.0016,61.6887,0.0,0
166,0.1,332333,0.12,3.15,0.0021,0.0054,71.2562,0.0,0
167,0.1,334335,0.07,3.08,0.0586,0.0035,72.49,0.0,0
168,0.1,336337,0.06,3.05,0.0356,0.0007,82.5084,0.0,0
169,0.1,338339,0.05,2.97,0.0277,0.0052,76.9472,0.0,0
170,0.1,340341,0.2,3.16,0.0202,0.0041,64.54,0.0,0
171,0.1,342343,0.09,3.23,0.0021,0.0073,71.9832,0.0,0
172,0.1,344345,0.24,3.03,0.0182,0.0012,64.5954,0.0,0
173,0.1,346347,0.27,3.45,0.0035,0.0025,75.152,0.0,0
174,0.1,348349,0.16,3.27,0.0263,0.0019,83.1968,0.0,0
175,0.1,350351,0.12,3.21,0.0611,0.0037,78.9212,0.0,0
176,0.1,352353,0.2,3.27,0.0116,0.0039,61.4343,0.0,0
177,0.1,354355,0.03,3.21,0.0302,0.0047,66.7216,0.0,0
178,0.1,356357,-0.0,3.39,0.0675,0.0016,73.0895,0.0,0
179,0.1,358359,-0.01,3.24,0.0667,0.0067,78.9923,0.0,0
180,0.1,360361,0.02,3.21,0.0141,0.0024,69.1423,0.0,0
181,0.1,362363,0.19,3.12,0.0347,0.0017,92.8741,0.0,0
182,0.1,364365,0.22,3.01,0.0692,0.0024,98.5163,0.0,0
183,0.1,366367,0.0,3.25,0.0229,0.0074,80.9716,0.0,0
184,0.1,368369,0.17,3.25,0.0169,0.0036,82.2982,0.0,0
